github.com/AlDanial/cloc v 2.06  T=7.89 s (619.4 files/s, 74728.2 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
JavaScript                     1034          13315          19596         109199
Java                            935          18453          27424         102009
HTML                           1689          12291             39         101666
XML                             306            201            177          55813
Text                            334             96              0          28419
JSON                            263             18              0          24917
Python                           57           4985           8571          24326
Markdown                        173           8666              6          21232
SVG                               5              4              4           1704
Maven                            11             73             63           1153
CSV                               8              0              0            875
XSD                               1             35              4            750
CSS                              13            117             18            630
TypeScript                       11              0            687            539
YAML                             12             72            186            345
Bourne Shell                     10             25             47            260
C#                                1             55              9            186
Bourne Again Shell                2             22             24             84
TOML                              1              8             31             80
SQL                               1              4              0             58
PowerShell                        2             12              4             48
DOS Batch                         5              9              2             40
Properties                       10              0             10             30
INI                               1              5              0             24
Fish Shell                        1              5             14             21
C++                               2             12             19             20
make                              1              4              0             14
--------------------------------------------------------------------------------
SUM:                           4889          58487          56935         474442
--------------------------------------------------------------------------------
